Frame No,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
16,3,420.33,418.046,459.646,419.285,462.636,450.303,423.342,448.962,0.3283828125,0.4193805556,0.3590984375,0.4176597222,0.361434375,0.3745791667,0.3307359375,0.3764416667
16,4,918.374,417.181,958.469,416.068,956.133,447.377,916.072,449.362,0.7174796875,0.4205819444,0.7488039063,0.4221277778,0.7469789063,0.3786430556,0.71568125,0.3758861111
17,1,411,173.836,451.092,170.253,450.778,202.607,411,205.585,0.32109375,0.7585611111,0.352415625,0.7635375,0.3521703125,0.7186013889,0.32109375,0.7144652778
17,2,917.748,160.486,958.774,163.109,960.422,195.77,919.56,193.701,0.716990625,0.7771027778,0.7490421875,0.7734597222,0.7503296875,0.7280972222,0.71840625,0.7309708333
17,3,420.244,418.059,459.638,419.319,462.501,450.188,423.191,448.765,0.328315625,0.4193625,0.3590921875,0.4176125,0.3613289063,0.3747388889,0.3306179688,0.3767152778
17,4,918.328,417.412,958.49,415.953,955.922,447.327,916.229,449.469,0.71744375,0.4202611111,0.7488203125,0.4222875,0.7468140625,0.3787125,0.7158039063,0.3757375
18,1,411.06,174.033,450.812,170.272,450.888,202.681,410.891,205.726,0.321140625,0.7582875,0.352196875,0.7635111111,0.35225625,0.7184986111,0.3210085938,0.7142694444
18,2,917.627,160.547,958.741,163.159,960.391,195.636,919.26,193.779,0.7168960938,0.7770180556,0.7490164063,0.7733902778,0.7503054688,0.7282833333,0.718171875,0.7308625
18,3,420.314,418.058,459.589,419.321,462.36,450.272,422.825,448.879,0.3283703125,0.4193638889,0.3590539063,0.4176097222,0.36121875,0.3746222222,0.3303320313,0.3765569444
18,4,917.93,417.196,958.302,416.007,955.856,447.275,916.04,449.321,0.7171328125,0.4205611111,0.7486734375,0.4222125,0.7467625,0.3787847222,0.71565625,0.3759430556
19,1,410.005,174.013,450.169,170.348,450.007,202.736,409.996,205.768,0.3203164063,0.7583152778,0.3516945313,0.7634055556,0.3515679688,0.7184222222,0.320309375,0.7142111111
19,2,917.556,160.385,958.693,163.175,959.949,195.689,918.42,193.661,0.716840625,0.7772430556,0.7489789063,0.7733680556,0.7499601563,0.7282097222,0.717515625,0.7310263889
19,3,419.891,418.299,459.593,419.263,461.328,450.214,422.608,448.787,0.3280398438,0.4190291667,0.3590570313,0.4176902778,0.3604125,0.3747027778,0.3301625,0.3766847222
19,4,917.54,417.053,957.933,416.513,955.559,447.001,915.59,449.292,0.716828125,0.4207597222,0.7483851563,0.4215097222,0.7465304688,0.3791652778,0.7153046875,0.3759833333
20,1,409.939,173.744,450.115,170.154,449.942,202.576,409.939,205.726,0.3202648438,0.7586888889,0.3516523438,0.763675,0.3515171875,0.7186444444,0.3202648438,0.7142694444
