Frame No.,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
11,3,465.205,404.654,504.865,405.168,507.12,436.417,467.383,435.247,0.3634414063,0.4379805556,0.3944257813,0.4372666667,0.3961875,0.3938652778,0.3651429688,0.3954902778
11,4,962.521,404.21,1001.79,403.466,999.429,434.79,960.196,436.262,0.7519695313,0.4385972222,0.7826484375,0.4396305556,0.7808039063,0.396125,0.750153125,0.3940805556
12,1,453.822,161.214,495,157.004,495,189.619,454.585,192.53,0.3545484375,0.7760916667,0.38671875,0.7819388889,0.38671875,0.7366402778,0.3551445313,0.7325972222
12,2,960.36,147.377,1000.61,150.212,1002.72,182.727,962.4,180.592,0.75028125,0.7953097222,0.7817265625,0.7913722222,0.783375,0.7462125,0.751875,0.7491777778
12,3,465.395,404.833,505.228,405.849,507.349,437.22,467.54,435.764,0.3635898438,0.4377319444,0.394709375,0.4363208333,0.3963664063,0.39275,0.365265625,0.3947722222
12,4,962.358,404.761,1001.69,403.726,999.566,435.196,960.222,436.709,0.7518421875,0.4378319444,0.7825703125,0.4392694444,0.7809109375,0.3955611111,0.7501734375,0.3934597222
13,2,960.32,147.889,1000.58,150.85,1002.72,183.418,962.451,180.921,0.75025,0.7945986111,0.781703125,0.7904861111,0.783375,0.7452527778,0.7519148438,0.7487208333
13,3,465.438,405.741,505.286,406.126,507.335,437.485,467.51,436.486,0.3636234375,0.4364708333,0.3947546875,0.4359361111,0.3963554688,0.3923819444,0.3652421875,0.3937694444
13,4,962.403,405.257,1001.68,404.266,999.56,435.797,960.233,437.402,0.7518773438,0.4371430556,0.7825625,0.4385194444,0.78090625,0.3947263889,0.7501820313,0.3924972222
14,1,453.724,161.9,495.227,157.908,494.889,190.519,454.798,193.404,0.354471875,0.7751388889,0.3868960938,0.7806833333,0.3866320313,0.7353902778,0.3553109375,0.7313833333
14,2,960.328,148.007,1000.58,151.142,1002.8,184.02,962.456,180.998,0.75025625,0.7944347222,0.781703125,0.7900805556,0.7834375,0.7444166667,0.75191875,0.7486138889
14,3,465.438,405.741,505.286,406.126,507.335,437.485,467.51,436.486,0.3636234375,0.4364708333,0.3947546875,0.4359361111,0.3963554688,0.3923819444,0.3652421875,0.3937694444
14,4,962.403,405.257,1001.68,404.266,999.558,435.831,960.232,437.418,0.7518773438,0.4371430556,0.7825625,0.4385194444,0.7809046875,0.3946791667,0.75018125,0.392475
15,1,453.795,161.319,494.942,157.491,495.115,189.903,454.601,193.054,0.3545273438,0.7759458333,0.3866734375,0.7812625,0.3868085938,0.7362458333,0.3551570313,0.7318694444
15,2,960.354,147.755,1000.56,150.527,1002.73,183.468,962.452,180.62,0.7502765625,0.7947847222,0.7816875,0.7909347222,0.7833828125,0.7451833333,0.751915625,0.7491388889
15,3,465.49,405,504.898,405,507.307,437.063,467.333,435.67,0.3636640625,0.4375,0.3944515625,0.4375,0.3963335938,0.3929680556,0.3651039063,0.3949027778
15,4,962.214,404.539,1001.59,403.67,999.253,435.268,960.027,436.602,0.7517296875,0.4381402778,0.7824921875,0.4393472222,0.7806664063,0.3954611111,0.7500210938,0.3936083333
16,1,453.821,160.392,494.027,156.482,494.287,188.857,453.989,192.155,0.3545476563,0.7772333333,0.3859585938,0.7826638889,0.3861617188,0.7376986111,0.3546789063,0.7331180556
16,2,959.805,147.172,999.917,149.82,1002.37,182.663,961.769,179.932,0.7498476563,0.7955944444,0.7811851563,0.7919166667,0.7831015625,0.7463013889,0.7513820313,0.7500944444
16,3,464.657,403.981,504.198,404.074,506.45,436.146,466.422,434.591,0.3630132813,0.4389152778,0.3939046875,0.4387861111,0.3956640625,0.3942416667,0.3643921875,0.3964013889
16,4,961.307,403.74,1000.64,402.776,998.766,434.699,959.083,435.886,0.7510210938,0.43925,0.78175,0.4405888889,0.7802859375,0.3962513889,0.7492835938,0.3946027778
17,1,453,159.31,493.174,155.601,493.443,187.772,453,191.189,0.35390625,0.7787361111,0.3852921875,0.7838875,0.3855023438,0.7392055556,0.35390625,0.7344597222
17,2,958.932,146.357,999.378,149.339,1001.23,181.82,961.063,179.642,0.749165625,0.7967263889,0.7807640625,0.7925847222,0.7822109375,0.7474722222,0.7508304688,0.7504972222
17,3,463.272,402.758,503.254,403.625,505.318,435.219,465.585,433.765,0.36193125,0.4406138889,0.3931671875,0.4394097222,0.3947796875,0.3955291667,0.3637382813,0.3975486111
17,4,960.397,403.124,999.671,402.715,997.716,433.793,958.147,435.248,0.7503101563,0.4401055556,0.7809929688,0.4406736111,0.779465625,0.3975097222,0.7485523438,0.3954888889
18,1,452.122,158.435,492.035,154.77,492.664,186.84,451.942,190.252,0.3532203125,0.7799513889,0.3844023438,0.7850416667,0.38489375,0.7405,0.3530796875,0.7357611111
18,2,958.143,145.768,998.458,148.438,1000.27,181.335,960.105,178.454,0.7485492188,0.7975444444,0.7800453125,0.7938361111,0.7814609375,0.7481458333,0.7500820313,0.7521472222
18,3,462.407,402.495,502.325,403.225,504.353,434.266,464.416,433.264,0.3612554688,0.4409791667,0.3924414063,0.4399652778,0.3940257813,0.3968527778,0.362825,0.3982444444
18,4,959.182,402.405,998.797,401.852,996.772,432.976,957.548,434.366,0.7493609375,0.4411041667,0.7803101563,0.4418722222,0.778728125,0.3986444444,0.748084375,0.3967138889
19,1,450.724,158.404,491.946,154.26,492.119,186.505,451.512,190.042,0.352128125,0.7799944444,0.3843328125,0.78575,0.3844679688,0.7409652778,0.35274375,0.7360527778
19,3,461.738,402.258,501.594,403.301,503.607,434.302,464.334,433.064,0.3607328125,0.4413083333,0.3918703125,0.4398597222,0.3934429688,0.3968027778,0.3627609375,0.3985222222
19,4,958.55,402.179,998.328,401.541,996.272,432.783,957.038,434.268,0.7488671875,0.4414180556,0.77994375,0.4423041667,0.7783375,0.3989125,0.7476859375,0.39685
20,1,450.645,158.118,490.892,153.967,491.246,186.221,451.147,189.623,0.3520664063,0.7803916667,0.383509375,0.7861569444,0.3837859375,0.7413597222,0.3524585938,0.7366347222
20,2,956.983,144.692,997.573,147.641,999.09,180.281,959.217,177.775,0.7476429688,0.7990388889,0.7793539063,0.7949430556,0.7805390625,0.7496097222,0.7493882813,0.7530902778
20,3,461.198,401.259,501.131,402.212,503.5,433.294,463.849,432.107,0.3603109375,0.4426958333,0.3915085938,0.4413722222,0.393359375,0.3982027778,0.3623820313,0.3998513889
20,4,958.446,401.215,997.994,400.458,995.661,431.808,956.707,433.266,0.7487859375,0.4427569444,0.7796828125,0.4438083333,0.7778601563,0.4002666667,0.7474273438,0.3982416667
21,1,449.876,157.11,490.277,152.923,490.869,185.252,450.055,188.743,0.351465625,0.7817916667,0.3830289063,0.7876069444,0.3834914063,0.7427055556,0.3516054688,0.7378569444
21,2,956.345,143.506,996.674,146.441,998.748,178.941,958.592,176.56,0.7471445313,0.8006861111,0.7786515625,0.7966097222,0.780271875,0.7514708333,0.7489,0.7547777778
21,3,460.947,400.901,500.476,401.053,503.023,432.715,463.213,431.73,0.3601148438,0.4431930556,0.390996875,0.4429819444,0.3929867188,0.3990069444,0.3618851563,0.400375
21,4,958.198,400.364,997.532,399.571,995.562,430.913,955.836,432.344,0.7485921875,0.4439388889,0.779321875,0.4450402778,0.7777828125,0.4015097222,0.746746875,0.3995222222
22,1,448.938,157.364,490,152.798,490,185.201,450.392,188.596,0.3507328125,0.7814388889,0.3828125,0.7877805556,0.3828125,0.7427763889,0.35186875,0.7380611111
22,2,955.84,143.485,996.23,146.289,998.412,178.822,958.438,176.557,0.74675,0.8007152778,0.7783046875,0.7968208333,0.780009375,0.7516361111,0.7487796875,0.7547819444
22,3,460.349,400.851,500.154,401.213,502.772,433.166,462.947,431.686,0.3596476563,0.4432625,0.3907453125,0.4427597222,0.392790625,0.3983805556,0.3616773438,0.4004361111
22,4,958.144,400,997.02,400,995.644,431.025,955.655,432.662,0.74855,0.4444444444,0.778921875,0.4444444444,0.777846875,0.4013541667,0.7466054688,0.3990805556
23,2,955.76,143.298,996.062,145.994,998.295,178.571,958.232,176.181,0.7466875,0.800975,0.7781734375,0.7972305556,0.7799179688,0.7519847222,0.74861875,0.7553041667
23,3,460.244,400.64,500.03,401.177,502.61,432.262,463.152,431.272,0.359565625,0.4435555556,0.3906484375,0.4428097222,0.3926640625,0.3996361111,0.3618375,0.4010111111
23,4,957.287,399.736,997.377,398.748,995.372,430.844,955.799,431.434,0.7478804688,0.4448111111,0.7792007813,0.4461833333,0.777634375,0.4016055556,0.7467179688,0.4007861111
24,1,448.976,156.279,490.107,152.202,489.943,184.558,449.267,188.023,0.3507625,0.7829458333,0.3828960938,0.7886083333,0.3827679688,0.7436694444,0.3509898438,0.7388569444
24,2,955.505,142.182,995.808,145.335,998.465,177.78,957.765,175.589,0.7464882813,0.802525,0.777975,0.7981458333,0.7800507813,0.7530833333,0.7482539063,0.7561263889
24,4,958.302,399.03,997.439,398.559,994.848,430.685,955.152,429.324,0.7486734375,0.4457916667,0.7792492188,0.4464458333,0.777225,0.4018263889,0.7462125,0.4037166667
25,1,449,156.021,490,151.678,490,184.237,449,187.701,0.35078125,0.7833041667,0.3828125,0.7893361111,0.3828125,0.7441152778,0.35078125,0.7393041667
25,2,955.623,142.094,995.837,144.784,998.438,177.631,957.523,174.773,0.7465804688,0.8026472222,0.7779976563,0.7989111111,0.7800296875,0.7532902778,0.7480648438,0.7572597222
25,3,460.236,399.86,500.586,400.553,502.449,431.53,463.226,430.754,0.359559375,0.4446388889,0.3910828125,0.4436763889,0.3925382813,0.4006527778,0.3618953125,0.4017305556
25,4,957.981,398.985,997.49,398.627,994.943,429.589,955.324,431.343,0.7484226563,0.4458541667,0.7792890625,0.4463513889,0.7772992188,0.4033486111,0.746346875,0.4009125
26,1,448.768,156.008,490,151.568,490,184.136,449.807,187.49,0.3506,0.7833222222,0.3828125,0.7894888889,0.3828125,0.7442555556,0.3514117188,0.7395972222
26,2,955.711,141.892,996.026,144.505,998.46,177.499,957.891,174.679,0.7466492188,0.8029277778,0.7781453125,0.7992986111,0.780046875,0.7534736111,0.7483523438,0.7573902778
26,3,460.736,400,500.636,400,502.95,431.324,463.353,430.766,0.35995,0.4444444444,0.391121875,0.4444444444,0.3929296875,0.4009388889,0.3619945313,0.4017138889
26,4,958.095,398.502,997.304,398.385,995.751,429.554,955.884,431.151,0.7485117188,0.446525,0.77914375,0.4466875,0.7779304688,0.4033972222,0.746784375,0.4011791667
