Frame No.,Marker No.,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
16,4,946.339,361.388,986.872,360.237,985.45,392.704,945.018,394.029,0.739327344,0.498072222,0.77099375,0.499670833,0.769882813,0.454577778,0.738295313,0.4527375
17,1,427.219,125.996,468.265,120.213,469.158,152.593,429.448,157.159,0.333764844,0.825005556,0.365832031,0.8330375,0.366529688,0.788065278,0.33550625,0.781723611
17,2,939.916,102.181,981.193,105.488,983.565,137.749,942.551,135.585,0.734309375,0.858081944,0.766557031,0.853488889,0.768410156,0.808681944,0.736367969,0.8116875
17,3,443.46,369.977,483.614,369.373,486.577,401,447.078,401,0.346453125,0.486143056,0.377823438,0.486981944,0.380138281,0.443055556,0.349279688,0.443055556
17,4,946.258,360.762,986.773,359.999,985.572,391.804,945.377,393.297,0.739264063,0.498941667,0.770916406,0.500001389,0.769978125,0.455827778,0.738575781,0.453754167
18,1,427.707,125.199,468.609,119.734,469.215,151.835,429.181,156.739,0.334146094,0.8261125,0.366100781,0.833702778,0.366574219,0.789118056,0.335297656,0.782306944
18,2,939.821,101.766,981.094,105.038,983.584,137.472,942.608,134.852,0.734235156,0.858658333,0.766479688,0.854113889,0.768425,0.809066667,0.7364125,0.812705556
18,3,443.35,369.28,483.571,368.91,486.57,400.925,447.202,400.77,0.346367188,0.487111111,0.377789844,0.487625,0.380132813,0.443159722,0.349376563,0.443375
18,4,946.274,360.157,986.731,359.635,985.586,391.668,945.391,392.767,0.739276563,0.499781944,0.770883594,0.500506944,0.769989063,0.456016667,0.738586719,0.454490278
19,1,427.736,125.228,468.469,119.671,469.293,151.776,429.215,156.735,0.33416875,0.826072222,0.365991406,0.833790278,0.366635156,0.7892,0.335324219,0.7823125
19,2,939.794,101.734,980.997,104.879,983.541,137.396,942.545,134.518,0.734214063,0.858702778,0.766403906,0.854334722,0.768391406,0.809172222,0.736363281,0.813169444
19,3,443.709,369.509,483.56,368.937,486.754,401,447.42,401,0.346647656,0.486793056,0.37778125,0.4875875,0.380276563,0.443055556,0.349546875,0.443055556
19,4,946.539,360.333,986.78,359.443,985.654,391.433,945.179,393.145,0.739483594,0.4995375,0.770921875,0.500773611,0.770042188,0.456343056,0.738421094,0.453965278
20,1,428.569,125.429,468.702,120.205,469.863,152.355,429.173,157.141,0.334819531,0.825793056,0.366173438,0.833048611,0.367080469,0.788395833,0.335291406,0.781748611
20,2,939.994,102.212,981.253,104.994,984.119,137.555,943.237,135.536,0.734370313,0.858038889,0.766603906,0.854175,0.768842969,0.808951389,0.736903906,0.811755556
20,3,444.253,369.239,484.383,368.897,487.196,401,447.442,401,0.347072656,0.487168056,0.378424219,0.487643056,0.380621875,0.443055556,0.349564063,0.443055556
20,4,947.171,360.723,987.251,359.599,985.781,391.424,945.814,393.179,0.739977344,0.498995833,0.771289844,0.500556944,0.770141406,0.456355556,0.738917188,0.453918056
21,1,428.727,125.028,469.9,119.225,470.037,151.622,430.194,156.293,0.334942969,0.82635,0.367109375,0.834409722,0.367216406,0.789413889,0.336089063,0.782926389
21,2,940.836,101.659,981.672,104.569,984.717,136.992,943.333,134.571,0.735028125,0.858806944,0.76693125,0.854765278,0.769310156,0.809733333,0.736978906,0.813095833
21,3,444.847,369.125,484.66,368.706,487.962,400.045,447.843,399.905,0.347536719,0.487326389,0.378640625,0.487908333,0.381220313,0.444381944,0.349877344,0.444576389
21,4,947.45,360.839,987.881,358.902,986.424,391.677,946.211,392.515,0.740195313,0.498834722,0.771782031,0.501525,0.77064375,0.456004167,0.739227344,0.454840278
22,1,430,125.087,469.917,119.656,470.784,151.821,430,156.816,0.3359375,0.826268056,0.367122656,0.833811111,0.3678,0.7891375,0.3359375,0.7822
22,2,941.395,102.201,982.346,105.138,985.286,137.475,943.985,135.638,0.735464844,0.858054167,0.767457813,0.853975,0.769754688,0.8090625,0.737488281,0.811613889
22,3,445.317,369.394,485.462,368.771,488.421,401,448.529,401,0.347903906,0.486952778,0.379267188,0.487818056,0.381578906,0.443055556,0.350413281,0.443055556
22,4,948.23,360.971,988.304,360.147,986.899,391.831,946.957,393.775,0.740804688,0.498651389,0.7721125,0.499795833,0.771014844,0.455790278,0.739810156,0.453090278
23,1,430.874,125.764,470.774,120.242,472.226,152.416,431.052,157.229,0.336620313,0.825327778,0.367792188,0.832997222,0.368926563,0.788311111,0.336759375,0.781626389
23,2,941.929,102.921,983.332,106.01,985.968,138.331,944.706,136.519,0.735882031,0.857054167,0.768228125,0.852763889,0.7702875,0.807873611,0.738051563,0.810390278
23,3,446.184,370.216,486.396,369.481,489.064,401,449.349,401,0.34858125,0.485811111,0.379996875,0.486831944,0.38208125,0.443055556,0.351053906,0.443055556
23,4,948.606,361.059,989.17,360.933,987.725,392.728,947.503,394.178,0.741098438,0.498529167,0.772789063,0.498704167,0.771660156,0.454544444,0.740236719,0.452530556
24,1,430.706,125.414,471.945,120.112,472.118,152.348,432.135,157.078,0.336489063,0.825813889,0.368707031,0.833177778,0.368842188,0.788405556,0.337605469,0.781836111
