FrameNo,Marker,Top Left,,Top Right,,Bottom Right,,Bottom Left,,Top Left,,Top Right,,Bottom Right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
14,2,935.518,134.377,974.545,138.508,975.83,171.346,936.864,167.877,0.7308734375,0.8133652778,0.7613632813,0.8076277778,0.7623671875,0.7620194444,0.731925,0.7668375
14,3,402.806,410.664,448.867,409.727,451.816,444.247,406.249,445.124,0.3146921875,0.4296333333,0.3506773438,0.4309347222,0.35298125,0.3829902778,0.3173820313,0.3817722222
14,4,933.463,394.243,971.728,392.549,969.464,424.141,931.491,427.015,0.7292679688,0.4524402778,0.7591625,0.4547930556,0.75739375,0.4109152778,0.7277273438,0.4069236111
15,1,392.198,136.586,439.151,132.593,439.006,168.643,391.918,172.422,0.3064046875,0.8102972222,0.3430867188,0.8158430556,0.3429734375,0.7657736111,0.3061859375,0.760525
15,2,935.637,134.389,974.513,138.505,975.933,171.411,937.096,167.892,0.7309664063,0.8133486111,0.7613382813,0.8076319444,0.7624476563,0.7619291667,0.73210625,0.7668166667
15,3,402.857,410.071,448.922,409.971,451.716,444.139,406.266,445.145,0.3147320313,0.4304569444,0.3507203125,0.4305958333,0.352903125,0.3831402778,0.3173953125,0.3817430556
15,4,933.712,394.293,971.779,392.551,969.53,424.261,931.421,427.099,0.7294625,0.4523708333,0.7592023438,0.4547902778,0.7574453125,0.4107486111,0.7276726563,0.4068069444
16,1,392.449,136.59,438.962,132.523,439.876,168.392,391.838,172.381,0.3066007813,0.8102916667,0.3429390625,0.8159402778,0.343653125,0.7661222222,0.3061234375,0.7605819444
16,2,935.739,134.492,974.596,138.464,975.971,171.434,936.952,168.062,0.7310460938,0.8132055556,0.761403125,0.8076888889,0.7624773438,0.7618972222,0.73199375,0.7665805556
16,3,403.096,410.259,449.185,409.978,451.676,444.171,406.259,444.978,0.31491875,0.4301958333,0.3509257813,0.4305861111,0.352871875,0.3830958333,0.3173898438,0.381975
16,4,933.599,394.517,971.808,392.467,969.497,423.968,931.409,427.245,0.7293742188,0.4520597222,0.759225,0.4549069444,0.7574195313,0.4111555556,0.7276632813,0.4066041667
17,1,392.617,136.604,439.217,132.472,439.481,168.412,391.784,172.416,0.3067320313,0.8102722222,0.3431382813,0.8160111111,0.3433445313,0.7660944444,0.30608125,0.7605333333
17,2,935.66,134.539,974.495,138.447,976.009,171.266,937.29,168.455,0.730984375,0.8131402778,0.7613242188,0.8077125,0.7625070313,0.7621305556,0.7322578125,0.7660347222
17,3,402.971,410.294,448.997,409.962,451.741,443.979,406.266,444.689,0.3148210938,0.4301472222,0.3507789063,0.4306083333,0.3529226563,0.3833625,0.3173953125,0.3823763889
17,4,933.712,394.305,971.786,392.514,969.416,424.44,931.427,427.016,0.7294625,0.4523541667,0.7592078125,0.4548416667,0.75735625,0.4105,0.7276773438,0.4069222222
18,1,392.543,136.535,439.264,132.502,439.484,168.444,391.803,172.406,0.3066742188,0.8103680556,0.343175,0.8159694444,0.343346875,0.76605,0.3060960938,0.7605472222
18,2,935.791,134.576,974.458,138.552,975.979,171.718,936.694,167.922,0.7310867188,0.8130888889,0.7612953125,0.8075666667,0.7624835938,0.7615027778,0.7317921875,0.766775
18,3,402.86,410.226,448.913,409.988,451.583,444.028,406.271,444.818,0.314734375,0.4302416667,0.3507132813,0.4305722222,0.3527992188,0.3832944444,0.3173992188,0.3821972222
18,4,933.531,394.398,971.73,392.511,969.453,424.291,931.532,427.079,0.7293210938,0.452225,0.7591640625,0.4548458333,0.7573851563,0.4107069444,0.727759375,0.4068347222
19,1,392.171,136.432,439.155,132.687,439.003,168.438,391.936,172.272,0.3063835938,0.8105111111,0.3430898438,0.8157125,0.3429710938,0.7660583333,0.3062,0.7607333333
19,2,935.746,134.657,974.518,138.571,975.747,171.653,936.401,168.059,0.7310515625,0.8129763889,0.7613421875,0.8075402778,0.7623023438,0.7615930556,0.7315632813,0.7665847222
19,3,402.719,410.824,448.56,409.663,451.652,444.322,406.103,444.912,0.3146242188,0.4294111111,0.3504375,0.4310236111,0.352853125,0.3828861111,0.3172679688,0.3820666667
19,4,933.315,394.29,971.79,392.67,969.01,424.468,931.511,427.01,0.7291523438,0.452375,0.7592109375,0.454625,0.7570390625,0.4104611111,0.7277429688,0.4069305556
20,1,392.186,136.546,439.155,132.649,438.955,168.495,391.92,172.302,0.3063953125,0.8103527778,0.3430898438,0.8157652778,0.3429335938,0.7659791667,0.3061875,0.7606916667
20,2,935.449,134.605,974.119,138.582,975.706,171.555,936.564,168.065,0.7308195313,0.8130486111,0.7610304688,0.807525,0.7622703125,0.7617291667,0.731690625,0.7665763889
20,3,402.76,410.074,448.591,409.837,451.553,444.511,406.065,444.982,0.31465625,0.4304527778,0.3504617188,0.4307819444,0.3527757813,0.3826236111,0.3172382813,0.3819694444
20,4,933.413,394.257,971.706,392.652,968.971,424.47,931.3,427.025,0.7292289063,0.4524208333,0.7591453125,0.45465,0.7570085938,0.4104583333,0.727578125,0.4069097222
21,2,935.763,134.534,974.238,138.709,975.628,171.545,936.624,168.074,0.7310648438,0.8131472222,0.7611234375,0.8073486111,0.762209375,0.7617430556,0.7317375,0.7665638889
21,3,402.766,410.116,448.656,409.751,451.478,444.499,406.189,445.128,0.3146609375,0.4303944444,0.3505125,0.4309013889,0.3527171875,0.3826402778,0.3173351563,0.3817666667
21,4,933.441,394.382,971.708,392.631,968.971,424.47,931.325,427.023,0.7292507813,0.4522472222,0.759146875,0.4546791667,0.7570085938,0.4104583333,0.7275976563,0.4069125
22,1,392.266,136.539,439.246,132.642,438.911,168.431,391.892,172.509,0.3064578125,0.8103625,0.3431609375,0.815775,0.3428992188,0.7660680556,0.306165625,0.7604041667
22,2,935.626,134.545,974.166,138.727,976.033,171.577,936.951,168.171,0.7309578125,0.8131319444,0.7610671875,0.8073236111,0.7625257813,0.7616986111,0.7319929688,0.7664291667
22,3,402.846,410.079,448.648,409.831,451.636,444.816,406.158,445.06,0.3147234375,0.4304458333,0.35050625,0.4307902778,0.352840625,0.3822,0.3173109375,0.3818611111
22,4,933.591,394.304,971.753,392.698,969.1,424.565,931.297,427.137,0.7293679688,0.4523555556,0.7591820313,0.4545861111,0.757109375,0.4103263889,0.7275757813,0.4067541667
23,1,392.209,136.87,439.17,132.591,439.042,168.653,391.915,172.558,0.3064132813,0.8099027778,0.3431015625,0.8158458333,0.3430015625,0.7657597222,0.3061835938,0.7603361111
23,2,935.699,134.608,974.148,138.772,976.179,171.613,937.005,168.552,0.7310148438,0.8130444444,0.761053125,0.8072611111,0.7626398438,0.7616486111,0.7320351563,0.7659
23,3,402.827,410.105,448.62,409.898,451.746,445,406.229,445,0.3147085938,0.4304097222,0.350484375,0.4306972222,0.3529265625,0.3819444444,0.3173664063,0.3819444444
23,4,933.484,394.575,971.716,392.695,969.387,424.608,931.373,427.304,0.729284375,0.4519791667,0.759153125,0.4545902778,0.7573335938,0.4102666667,0.7276351563,0.4065222222
24,1,392.596,136.979,440.217,132.454,439.279,168.717,391.772,172.523,0.306715625,0.8097513889,0.3439195313,0.8160361111,0.3431867188,0.7656708333,0.306071875,0.7603847222
24,2,935.676,134.698,974.585,138.939,976.174,171.711,937.249,168.622,0.730996875,0.8129194444,0.7613945313,0.8070291667,0.7626359375,0.7615125,0.7322257813,0.7658027778
24,3,402.918,410.068,448.812,409.974,451.902,445,406.362,445,0.3147796875,0.4304611111,0.350634375,0.4305916667,0.3530484375,0.3819444444,0.3174703125,0.3819444444
24,4,933.651,394.685,971.931,392.735,969.545,424.595,931.617,427.393,0.7294148438,0.4518263889,0.7593210938,0.4545347222,0.7574570313,0.4102847222,0.7278257813,0.4063986111
25,1,393.281,137.003,440,132.422,440,168.68,392.261,172.546,0.3072507813,0.8097180556,0.34375,0.8160805556,0.34375,0.7657222222,0.3064539063,0.7603527778
25,2,935.973,134.88,974.674,138.943,976.329,171.724,937.196,168.618,0.7312289063,0.8126666667,0.7614640625,0.8070236111,0.7627570313,0.7614944444,0.732184375,0.7658083333
