Frame,,Top Left,,Top Right,,Bottom right,,Bottom Left,,Top Left,,Top Right,,Bottom right,,Bottom Left,
,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
13,1,378.101,154.322,424.135,149.59,424.312,185.777,377.805,190.042,0.2953914063,0.7856638889,0.3313554688,0.7922361111,0.33149375,0.7419763889,0.2951601563,0.7360527778
13,2,921.664,144.539,960.261,148.047,962.305,181.277,922.192,177.619,0.72005,0.7992513889,0.7502039063,0.7943791667,0.7518007813,0.7482263889,0.7204625,0.7533069444
13,3,391.468,428.281,436.838,426.775,440.145,461.918,394.991,462.044,0.305834375,0.4051652778,0.3412796875,0.4072569444,0.3438632813,0.3584472222,0.3085867188,0.3582722222
13,4,922.356,405.42,960.179,402.734,958.734,434.515,920.296,437.85,0.720590625,0.4369166667,0.7501398438,0.4406472222,0.7490109375,0.3965069444,0.71898125,0.391875
14,1,378.102,154.227,424.212,149.592,423.896,185.783,377.805,189.989,0.2953921875,0.7857958333,0.331415625,0.7922333333,0.33116875,0.7419680556,0.2951601563,0.7361263889
14,2,921.146,144.546,959.884,148.143,962.065,180.927,922.306,178.484,0.7196453125,0.7992416667,0.749909375,0.7942458333,0.7516132813,0.7487125,0.7205515625,0.7521055556
14,3,391.082,428.252,436.742,426.765,439.782,462,394.95,462,0.3055328125,0.4052055556,0.3412046875,0.4072708333,0.3435796875,0.3583333333,0.3085546875,0.3583333333
14,4,922.245,405.41,960.242,402.579,958.392,434.688,919.7,437.766,0.7205039063,0.4369305556,0.7501890625,0.4408625,0.74874375,0.3962666667,0.718515625,0.3919916667
15,1,378.053,154.179,423.887,149.512,424.619,185.753,377.901,189.945,0.2953539063,0.7858625,0.3311617188,0.7923444444,0.3317335938,0.7420097222,0.2952351563,0.7361875
15,2,921.422,144.608,960.02,148.221,962.312,181.324,922.38,178.454,0.7198609375,0.7991555556,0.750015625,0.7941375,0.75180625,0.7481611111,0.720609375,0.7521472222
15,3,391.197,427.614,437.288,426.804,439.877,460.897,395.05,462.019,0.3056226563,0.4060916667,0.34163125,0.4072166667,0.3436539063,0.3598652778,0.3086328125,0.3583069444
15,4,922.374,405.436,960.203,402.878,958.756,434.692,920.209,437.995,0.7206046875,0.4368944444,0.7501585938,0.4404472222,0.749028125,0.3962611111,0.7189132813,0.3916736111
16,1,378,154.34,425.044,149.292,424.898,185.677,378,189.825,0.2953125,0.7856388889,0.332065625,0.79265,0.3319515625,0.7421152778,0.2953125,0.7363541667
16,2,921.571,144.853,960.658,148.319,962.331,181.239,923.185,178.716,0.7199773438,0.7988152778,0.7505140625,0.7940013889,0.7518210938,0.7482791667,0.7212382813,0.7517833333
16,3,391.525,427.555,436.905,426.838,440.303,461.699,395.124,462.097,0.3058789063,0.4061736111,0.3413320313,0.4071694444,0.3439867188,0.3587513889,0.308690625,0.3581986111
16,4,922.094,406,960.263,402.889,958.872,434.885,920.315,438.21,0.7203859375,0.4361111111,0.7502054688,0.4404319444,0.74911875,0.3959930556,0.7189960938,0.391375
17,1,378,154.072,425,149.449,425,185.731,378,189.759,0.2953125,0.7860111111,0.33203125,0.7924319444,0.33203125,0.7420402778,0.2953125,0.7364458333
17,2,921.645,145.065,960.696,148.472,962.376,181.545,923.292,178.656,0.7200351563,0.7985208333,0.75054375,0.7937888889,0.75185625,0.7478541667,0.721321875,0.7518666667
17,3,391.432,427.725,436.921,426.802,440.221,461.7,395.177,462.097,0.30580625,0.4059375,0.3413445313,0.4072194444,0.3439226563,0.35875,0.3087320313,0.3581986111
17,4,922.197,406.025,960.24,403.074,958.82,435.004,920.093,438.32,0.7204664063,0.4360763889,0.7501875,0.440175,0.749078125,0.3958277778,0.7188226563,0.3912222222
18,1,378,154.191,425,149.359,425,185.678,378,189.684,0.2953125,0.7858458333,0.33203125,0.7925569444,0.33203125,0.7421138889,0.2953125,0.73655
18,2,921.617,145.14,960.618,148.433,962.272,181.628,923.263,178.609,0.7200132813,0.7984166667,0.7504828125,0.7938430556,0.751775,0.7477388889,0.7212992188,0.7519319444
18,3,391.36,428.071,436.75,426.726,440.154,461.7,395.058,462.098,0.30575,0.4054569444,0.3412109375,0.407325,0.3438703125,0.35875,0.3086390625,0.3581972222
18,4,922.364,405.494,960.443,403.306,958.609,434.963,920.246,438.264,0.720596875,0.4368138889,0.7503460938,0.4398527778,0.7489132813,0.3958847222,0.7189421875,0.3913
19,1,378.053,154.17,424.081,149.461,424.081,185.901,377.901,189.77,0.2953539063,0.785875,0.3313132813,0.7924152778,0.3313132813,0.7418041667,0.2952351563,0.7364305556
19,2,921.151,145.027,960.393,148.391,962.13,181.617,922.951,178.589,0.7196492188,0.7985736111,0.7503070313,0.7939013889,0.7516640625,0.7477541667,0.7210554688,0.7519597222
19,3,391.202,428.061,436.66,426.876,439.995,462,394.805,462,0.3056265625,0.4054708333,0.341140625,0.4071166667,0.3437460938,0.3583333333,0.3084414063,0.3583333333
19,4,922.175,405.468,960.271,403.292,958.127,434.888,919.796,438.314,0.7204492188,0.43685,0.7502117188,0.4398722222,0.7485367188,0.3959888889,0.718590625,0.3912305556
20,1,378.053,154.253,423.953,149.602,424.107,185.773,377.901,189.81,0.2953539063,0.7857597222,0.3312132813,0.7922194444,0.3313335938,0.7419819444,0.2952351563,0.736375
20,2,921.142,145.083,959.945,148.395,961.939,181.602,922.562,178.661,0.7196421875,0.7984958333,0.7499570313,0.7938958333,0.7515148438,0.747775,0.7207515625,0.7518597222
20,3,390.991,427.917,436.64,426.665,439.927,461.898,394.545,462.017,0.3054617188,0.4056708333,0.341125,0.4074097222,0.3436929688,0.358475,0.3082382813,0.3583097222
20,4,922.303,405.425,960.23,403.36,957.987,434.989,919.517,438.462,0.7205492188,0.4369097222,0.7501796875,0.4397777778,0.7484273438,0.3958486111,0.7183726563,0.391025
21,1,378.084,154.251,423.911,149.783,424.21,185.829,377.822,189.908,0.295378125,0.7857625,0.3311804688,0.7919680556,0.3314140625,0.7419041667,0.2951734375,0.7362388889
21,2,921.134,145.269,959.779,148.543,961.874,181.708,922.417,178.739,0.7196359375,0.7982375,0.7498273438,0.7936902778,0.7514640625,0.7476277778,0.7206382813,0.7517513889
21,3,390.754,428.66,436.304,426.523,439.505,461.9,394.336,462.017,0.3052765625,0.4046388889,0.3408625,0.4076069444,0.3433632813,0.3584722222,0.308075,0.3583097222
21,4,921.796,405.931,959.898,403.587,957.797,435.173,919.442,438.535,0.720153125,0.4362069444,0.7499203125,0.4394625,0.7482789063,0.3955930556,0.7183140625,0.3909236111
22,1,378.044,154.19,423.911,149.806,424.21,185.829,377.909,189.901,0.295346875,0.7858472222,0.3311804688,0.7919361111,0.3314140625,0.7419041667,0.2952414063,0.7362486111
22,2,921.55,145.427,959.772,148.883,961.777,181.664,922.181,179.119,0.7199609375,0.7980180556,0.749821875,0.7932180556,0.7513882813,0.7476888889,0.7204539063,0.7512236111
22,3,390.716,428.219,436.313,426.614,439.514,462,394.23,462,0.305246875,0.4052513889,0.3408695313,0.4074805556,0.3433703125,0.3583333333,0.3079921875,0.3583333333
22,4,921.597,405.967,959.902,403.602,957.717,435.299,919.53,438.507,0.7199976563,0.4361569444,0.7499234375,0.4394416667,0.7482164063,0.3954180556,0.7183828125,0.3909625
23,1,378.044,154.183,423.953,149.764,424.107,185.838,377.909,189.901,0.295346875,0.7858569444,0.3312132813,0.7919944444,0.3313335938,0.7418916667,0.2952414063,0.7362486111
23,2,921.367,145.319,959.854,148.94,961.768,181.853,922.343,179.307,0.7198179688,0.7981680556,0.7498859375,0.7931388889,0.75138125,0.7474263889,0.7205804688,0.7509625
23,3,390.807,428.261,436.427,426.818,439.472,462,394.235,462,0.3053179688,0.4051930556,0.3409585938,0.4071972222,0.3433375,0.3583333333,0.3079960938,0.3583333333
23,4,921.506,406.123,959.989,403.552,957.699,435.171,919.536,438.694,0.7199265625,0.4359402778,0.7499914063,0.4395111111,0.7482023438,0.3955958333,0.7183875,0.3907027778
24,1,377.994,154.234,423.914,149.632,424.205,185.768,377.842,190.014,0.2953078125,0.7857861111,0.3311828125,0.7921777778,0.3314101563,0.7419888889,0.2951890625,0.7360916667
24,2,921.197,145.337,959.942,148.91,962.038,181.732,922.351,179.137,0.7196851563,0.7981430556,0.7499546875,0.7931805556,0.7515921875,0.7475944444,0.7205867188,0.7511986111
24,3,390.855,428.198,436.407,426.838,439.575,461.917,394.361,462.043,0.3053554688,0.4052805556,0.3409429688,0.4071694444,0.3434179688,0.3584486111,0.3080945313,0.3582736111
24,4,921.497,406.121,960.129,403.494,957.819,435.078,919.78,438.651,0.7199195313,0.4359430556,0.7501007813,0.4395916667,0.7482960938,0.395725,0.718578125,0.3907625
25,1,378.115,154.352,424.007,149.554,424.162,185.837,377.786,189.998,0.2954023438,0.7856222222,0.3312554688,0.7922861111,0.3313765625,0.7418930556,0.2951453125,0.7361138889
25,2,921.062,145.354,959.958,148.773,961.95,181.704,922.584,179.123,0.7195796875,0.7981194444,0.7499671875,0.7933708333,0.7515234375,0.7476333333,0.72076875,0.7512180556
25,3,390.829,428.24,436.452,426.751,439.573,461.856,394.42,462.064,0.3053351563,0.4052222222,0.340978125,0.4072902778,0.3434164063,0.3585333333,0.308140625,0.3582444444
25,4,922.131,405.597,960.086,403.73,957.827,435.165,919.25,438.82,0.7204148438,0.4366708333,0.7500671875,0.4392638889,0.7483023438,0.3956041667,0.7181640625,0.3905277778
26,1,378.112,154.348,424.006,149.394,424.229,185.541,377.799,190.138,0.2954,0.7856277778,0.3312546875,0.7925083333,0.3314289063,0.7423041667,0.2951554688,0.7359194444
26,2,921.198,145.367,959.93,148.717,962.036,181.702,922.345,178.955,0.7196859375,0.7981013889,0.7499453125,0.7934486111,0.751590625,0.7476361111,0.7205820313,0.7514513889
26,3,390.898,427.999,436.551,426.771,439.678,461.876,394.529,462.042,0.3053890625,0.4055569444,0.3410554688,0.4072625,0.3434984375,0.3585055556,0.3082257813,0.358275
26,4,921.875,405.777,960.126,403.533,957.816,435.123,919.513,438.736,0.7202148438,0.4364208333,0.7500984375,0.4395375,0.74829375,0.3956625,0.7183695313,0.3906444444
27,1,377.997,154.042,425.105,149.355,424.76,185.608,378.455,189.587,0.2953101563,0.7860527778,0.3321132813,0.7925625,0.33184375,0.7422111111,0.2956679688,0.7366847222
27,2,921.844,145.083,960.719,148.474,962.539,181.472,923.283,178.746,0.720190625,0.7984958333,0.7505617188,0.7937861111,0.7519835938,0.7479555556,0.7213148438,0.7517416667
27,3,391.57,427.315,437.504,426.8,440.469,461.175,395.377,461.217,0.3059140625,0.4065069444,0.3418,0.4072222222,0.3441164063,0.3594791667,0.3088882813,0.3594208333
27,4,922.606,405.477,960.94,403.04,958.744,434.908,920.538,438.173,0.7207859375,0.4368375,0.750734375,0.4402222222,0.74901875,0.3959611111,0.7191703125,0.3914263889
28,1,378.949,153.83,424.867,149.083,425.66,185.143,378.94,189.436,0.2960539063,0.7863472222,0.3319273438,0.7929402778,0.332546875,0.7428569444,0.296046875,0.7368944444
28,2,921.752,144.612,960.891,148.359,962.648,181.207,923.467,178.635,0.72011875,0.79915,0.7506960938,0.7939458333,0.75206875,0.7483236111,0.7214585938,0.7518958333
28,3,391.959,427.341,437.438,426.725,440.674,461.029,395.351,461.236,0.3062179688,0.4064708333,0.3417484375,0.4073263889,0.3442765625,0.3596819444,0.3088679688,0.3593944444
28,4,922.748,405.457,961.078,402.935,958.932,434.839,920.433,438.13,0.720896875,0.4368652778,0.7508421875,0.4403680556,0.749165625,0.3960569444,0.7190882813,0.3914861111
