timestamp	index	confidence	norm_pos_x	norm_pos_y	base_data	gaze_point_3d_x	gaze_point_3d_y	gaze_point_3d_z	eye_center0_3d_x	eye_center0_3d_y	eye_center0_3d_z	gaze_normal0_x	gaze_normal0_y	gaze_normal0_z	eye_center1_3d_x	eye_center1_3d_y	eye_center1_3d_z	gaze_normal1_x	gaze_normal1_y	gaze_normal1_z
4317.804239	18	1	0.563925876	0.605756365	4317.809926330102-0 4317.798551572431-1	10.23550505	-15.3077922	136.1988487	21.21524791	9.541636089	-22.59112987	-0.068171898	-0.1544385	0.985647676	-39.91620857	13.64174031	-15.92077896	0.308132319	-0.177669521	0.934605807
4317.810287	18	1	0.564043742	0.6061106	4317.809926330102-0 4317.810647959544-1	10.24502832	-15.328485	135.9885108	21.21524791	9.541636089	-22.59112987	-0.068171898	-0.1544385	0.985647676	-39.91620857	13.64174031	-15.92077896	0.308523305	-0.17832952	0.934351086
4317.816203	18	1	0.563375595	0.606251746	4317.8217579738475-0 4317.810647959544-1	10.06261612	-15.28339492	135.4414915	21.21524791	9.541636089	-22.59112987	-0.069566364	-0.155026204	0.985457963	-39.91620857	13.64174031	-15.92077896	0.308523305	-0.17832952	0.934351086
4317.820226	18	1	0.563285671	0.607346319	4317.8217579738475-0 4317.818694407062-1	10.04732033	-15.42351733	135.4793948	21.21524791	9.541636089	-22.59112987	-0.069566364	-0.155026204	0.985457963	-39.91620857	13.64174031	-15.92077896	0.308253452	-0.179948077	0.934129808
4317.826206	18	1	0.562727159	0.605875062	4317.8217579738475-0 4317.830653441573-1	9.999638801	-15.35000385	136.4575323	21.21524791	9.541636089	-22.59112987	-0.069566364	-0.155026204	0.985457963	-39.91620857	13.64174031	-15.92077896	0.306400423	-0.17714383	0.935274743
4317.830299	18	0.99	0.554572874	0.588439293	4317.8299444908325-0 4317.830653441573-1	7.846720897	-12.51592172	129.7301838	21.21524791	9.541636089	-22.59112987	-0.085782554	-0.133838673	0.987283426	-39.91620857	13.64174031	-15.92077896	0.306400423	-0.17714383	0.935274743
4317.836201	19	0.99	0.536563299	0.555765359	4317.841747758436-0 4317.830653441573-1	3.801117542	-7.811534068	117.1045903	21.21524791	9.541636089	-22.59112987	-0.120624347	-0.096547654	0.987992063	-39.91620857	13.64174031	-15.92077896	0.306400423	-0.17714383	0.935274743
4317.842093	19	0.99	0.532300179	0.545791054	4317.841747758436-0 4317.84243889862-1	3.185661218	-7.106500753	123.223664	21.21524791	9.541636089	-22.59112987	-0.120624347	-0.096547654	0.987992063	-39.91620857	13.64174031	-15.92077896	0.291605531	-0.157021476	0.943562648
4317.84811	19	0.99	0.455511423	0.545993607	4317.853781959536-0 4317.84243889862-1	-8.108038405	-5.050926354	86.97424953	23.05290326	11.46398964	-20.22376827	-0.276741813	-0.160297187	0.947480227	-39.91620857	13.64174031	-15.92077896	0.291605531	-0.157021476	0.943562648
4317.854107	19	0.968957825	0.450508081	0.535901638	4317.853781959536-0 4317.8544326486235-1	-9.201396102	-4.458676829	91.08694731	23.05290326	11.46398964	-20.22376827	-0.276741813	-0.160297187	0.947480227	-39.91620857	13.64174031	-15.92077896	0.273331739	-0.136208111	0.952227447
4317.860125	19	0.968957825	0.444168658	0.529434499	4317.865816462509-0 4317.8544326486235-1	-9.853722429	-3.830034503	88.81819674	23.05290326	11.46398964	-20.22376827	-0.287264303	-0.155118278	0.94520767	-39.91620857	13.64174031	-15.92077896	0.273331739	-0.136208111	0.952227447
4317.866198	19	0.99	0.440802889	0.524670963	4317.865816462509-0 4317.866579146796-1	-10.64885443	-3.556905335	91.6275123	23.05290326	11.46398964	-20.22376827	-0.287264303	-0.155118278	0.94520767	-39.91620857	13.64174031	-15.92077896	0.260644941	-0.124804877	0.957333775
4317.87257	20	0.99	0.442229923	0.528503527	4317.878560670909-0 4317.866579146796-1	-10.50459968	-3.897221524	92.15580258	23.05290326	11.46398964	-20.22376827	-0.284909566	-0.159634758	0.945168389	-39.91620857	13.64174031	-15.92077896	0.260644941	-0.124804877	0.957333775
4317.876506	20	1	0.442324028	0.530054474	4317.878560670909-0 4317.874450809354-1	-10.47671303	-4.021252749	92.02590773	23.05290326	11.46398964	-20.22376827	-0.284909566	-0.159634758	0.945168389	-39.91620857	13.64174031	-15.92077896	0.261072517	-0.127217863	0.956899554
4317.882672	20	1	0.442244233	0.530574405	4317.878560670909-0 4317.886782658072-1	-10.49382461	-4.066828781	92.073062	23.05290326	11.46398964	-20.22376827	-0.284909566	-0.159634758	0.945168389	-39.91620857	13.64174031	-15.92077896	0.26080099	-0.127880823	0.956885228
4317.886427	20	1	0.442951035	0.531256704	4317.886070990467-0 4317.886782658072-1	-10.42160577	-4.135293458	92.33790975	23.05290326	11.46398964	-20.22376827	-0.28373347	-0.160159317	0.945433399	-39.91620857	13.64174031	-15.92077896	0.26080099	-0.127880823	0.956885228
4317.892328	20	1	0.442992262	0.533039105	4317.897872748701-0 4317.886782658072-1	-10.41771687	-4.285308393	92.35066059	23.05290326	11.46398964	-20.22376827	-0.283675904	-0.162648436	0.945025644	-39.91620857	13.64174031	-15.92077896	0.26080099	-0.127880823	0.956885228
4317.898224	20	1	0.443101807	0.534149453	4317.897872748701-0 4317.898575058217-1	-10.3878132	-4.372293971	92.22266713	23.05290326	11.46398964	-20.22376827	-0.283675904	-0.162648436	0.945025644	-39.91620857	13.64174031	-15.92077896	0.261263104	-0.129661051	0.956519525
4317.904236	21	1	0.443086741	0.535864028	4317.909897591711-0 4317.898575058217-1	-10.38968928	-4.515501463	92.21396775	23.05290326	11.46398964	-20.22376827	-0.283712092	-0.16507444	0.944594028	-39.91620857	13.64174031	-15.92077896	0.261263104	-0.129661051	0.956519525
4317.910238	21	1	0.44299177	0.536579719	4317.909897591711-0 4317.910577864436-1	-10.40970931	-4.578140992	92.26678382	23.05290326	11.46398964	-20.22376827	-0.283712092	-0.16507444	0.944594028	-39.91620857	13.64174031	-15.92077896	0.260944842	-0.130594089	0.956479468
4317.916184	21	1	0.443881823	0.538510141	4317.921790515848-0 4317.910577864436-1	-10.31844765	-4.756432878	92.59966176	23.05290326	11.46398964	-20.22376827	-0.28223606	-0.167250675	0.944653385	-39.91620857	13.64174031	-15.92077896	0.260944842	-0.130594089	0.956479468
4317.922108	21	1	0.444044023	0.539304734	4317.921790515848-0 4317.922425205622-1	-10.27729674	-4.814797499	92.43894453	23.05290326	11.46398964	-20.22376827	-0.28223606	-0.167250675	0.944653385	-39.91620857	13.64174031	-15.92077896	0.261585423	-0.131972688	0.9561152
4317.928168	21	1	0.444762934	0.541948508	4317.933911656618-0 4317.922425205622-1	-10.20335747	-5.050897588	92.70606323	23.05290326	11.46398964	-20.22376827	-0.281049453	-0.170538184	0.944419363	-39.91620857	13.64174031	-15.92077896	0.261585423	-0.131972688	0.9561152
4317.932287	21	1	0.444832447	0.543836844	4317.933911656618-0 4317.930663041162-1	-10.18052516	-5.203034688	92.58290177	23.05290326	11.46398964	-20.22376827	-0.281049453	-0.170538184	0.944419363	-39.91620857	13.64174031	-15.92077896	0.261932916	-0.134842595	0.955619497
